Image,Name,Description,Ingredients,Energy / Health,Buff(s),Buff Duration,Recipe Source(s),Sell Price
,Chocolate Cake,Rich and moist with a thick fudge icing.,"['Wheat Flour (1)', ' Sugar (1)', ' Egg (1)']","150 Energy, 67 Health",,,"TV: 14 Winter Year 1,",
,Pink Cake,There's little heart candies on top.,"['Melon (1)', ' Wheat Flour (1)', ' Sugar (1)', ' Egg (1)']","250 Energy, 112 Health",,,"TV: 21 Summer Year 2,",
,Rhubarb Pie,"Mmm, tangy and sweet!","['Rhubarb (1)', ' Wheat Flour (1)', ' Sugar (1)']","215 Energy, 96 Health",,,Marnie 7♥,400g
,Cookie,Very chewy.,"['Wheat Flour (1)', ' Sugar (1)', ' Egg (1)']","90 Energy, 40 Health",,,Evelyn (4-heart event),140g
,Spaghetti,An old favorite.,"['Wheat Flour (1)', ' Tomato (1)']","75 Energy, 33 Health",,,Lewis 3♥,120g
,Fried Eel,Greasy but flavorful.,"['Eel (1)', ' Oil (1)']","75 Energy, 33 Health",['Luck (+1)'],7m,George 3♥,120g
,Spicy Eel,It's really spicy! Be careful.,"['Eel (1)', ' Hot Pepper (1)']","115 Energy, 51 Health","['Luck (+1)', ' Speed (+1)']",7m,George 7♥,175g
,Sashimi,Raw fish sliced into thin pieces.,['Any Fish (1)'],"75 Energy, 33 Health",,,Linus 3♥,75g
,Maki Roll,Fish and rice wrapped in seaweed.,"['Any Fish (1)', ' Seaweed (1)', ' Rice (1)']","100 Energy, 45 Health",,,Stardrop Saloon: 300g,
,Tortilla,Can be used as a vessel for food or eaten by itself.,['Corn (1)'],"50 Energy, 22 Health",,,Stardrop Saloon: 100g,
,Red Plate,Full of antioxidants.,"['Red Cabbage (1)', ' Radish (1)']","240 Energy, 108 Health",['Max Energy (+50)'],3m 30s,Emily 7♥,400g
,Eggplant Parmesan,"Tangy, cheesy, and wonderful.","['Eggplant (1)', ' Tomato (1)']","175 Energy, 78 Health","['Mining (+1)', ' Defense (+3)']",4m 39s,Lewis 7♥,200g
,Rice Pudding,"It's creamy, sweet, and fun to eat.","['Milk (1)', ' Sugar (1)', ' Rice (1)']","115 Energy, 51 Health",,,Evelyn 7♥,260g
,Ice Cream,It's hard to find someone who doesn't like this.,"['Milk (1)', ' Sugar (1)']","100 Energy, 45 Health",,,Jodi 7♥,120g
,Blueberry Tart,It's subtle and refreshing.,"['Blueberry (1)', ' Wheat Flour (1)', ' Sugar (1)', ' Egg (1)']","125 Energy, 56 Health",,,Pierre 3♥,150g
,Autumn's Bounty,A taste of the season.,"['Yam (1)', ' Pumpkin (1)']","220 Energy, 99 Health","['Foraging (+2)', ' Defense (+2)']",7m 41s,Demetrius 7♥,350g
,Pumpkin Soup,A seasonal favorite.,"['Pumpkin (1)', ' Milk (1)']","200 Energy, 90 Health","['Defense (+2)', ' Luck (+2)']",7m 41s,Robin 7♥,300g
,Super Meal,It's a really energizing meal.,"['Bok Choy (1)', ' Cranberries (1)', ' Artichoke (1)']","160 Energy, 72 Health","['Max Energy (+40)', ' Speed (+1)']",3m 30s,Kent 7♥,220g
,Cranberry Sauce,A festive treat.,"['Cranberries (1)', ' Sugar (1)']","125 Energy, 56 Health",['Mining (+2)'],3m 30s,Gus 7♥,120g
,Stuffing,Ahh... the smell of warm bread and sage.,"['Bread (1)', ' Cranberries (1)', ' Hazelnut (1)']","170 Energy, 76 Health",['Defense (+2)'],5m 35s,Pam 7♥,165g
,Farmer's Lunch,This'll keep you going.,"['Omelet (1)', ' Parsnip (1)']","200 Energy, 90 Health",['Farming (+3)'],5m 35s,Farming Level 3,150g
,Survival Burger,A convenient snack for the explorer.,"['Bread (1)', ' Cave Carrot (1)', ' Eggplant (1)']","125 Energy, 56 Health",['Foraging (+3)'],5m 35s,Foraging Level 8,180g
,Dish O' The Sea,This'll keep you warm in the cold sea air.,"['Sardine (2)', ' Hashbrowns (1)']","150 Energy, 67 Health",['Fishing (+3)'],5m 35s,Fishing Level 3,220g
,Miner's Treat,This should keep your energy up.,"['Cave Carrot (2)', ' Sugar (1)', ' Milk (1)']","125 Energy, 56 Health","['Mining (+3)', ' Magnetism (+32)']",5m 35s,Mining Level 3,200g
,Roots Platter,This'll get you digging for more.,"['Cave Carrot (1)', ' Winter Root (1)']","125 Energy, 56 Health",['Attack (+3)'],5m 35s,Combat Level 3,100g
,Triple Shot Espresso,It's more potent than regular coffee!,['Coffee (3)'],"8 Energy, 3 Health",['Speed (+1)'],4m 12s,"Stardrop Saloon: 5,000g",450g
,Seafoam Pudding,This briny pudding will really get you into the maritime mindset!,"['Flounder (1)', ' Midnight Carp (1)', ' Squid Ink (1)']","175 Energy, 78 Health",['Fishing (+4)'],3m 30s,Fishing (Level 9),300g
,Algae Soup,It's a little slimy.,['Green Algae (4)'],"75 Energy, 33 Health",,,Clint 3♥,100g
,Pale Broth,A delicate broth with a hint of sulfur.,['White Algae (2)'],"125 Energy, 56 Health",,,Marnie 3♥,150g
,Plum Pudding,A traditional holiday treat.,"['Wild Plum (2)', ' Wheat Flour (1)', ' Sugar (1)']","175 Energy, 78 Health",,,"TV: 7 Winter Year 1,",
,Artichoke Dip,It's cool and refreshing.,"['Artichoke (1)', ' Milk (1)']","100 Energy, 45 Health",,,"TV: 28 Fall Year 1,",
,Stir Fry,Julienned vegetables on a bed of rice.,"['Cave Carrot (1)', ' Common Mushroom (1)', ' Kale (1)', ' Oil (1)']","200 Energy, 90 Health",,,"TV: 7 Spring Year 1,",
,Roasted Hazelnuts,The roasting process creates a rich forest flavor.,['Hazelnut (3)'],"175 Energy, 78 Health",,,"TV: 28 Summer Year 2,",
,Pumpkin Pie,Silky pumpkin cream in a flaky crust.,"['Pumpkin (1)', ' Wheat Flour (1)', ' Milk (1)', ' Sugar (1)']","225 Energy, 101 Health",,,"TV: 21 Winter Year 1,",
,Radish Salad,The radishes are so crisp!,"['Oil (1)', ' Vinegar (1)', ' Radish (1)']","200 Energy, 90 Health",,,"TV: 21 Spring Year 1,",
,Fruit Salad,A delicious combination of summer fruits.,"['Blueberry (1)', ' Melon (1)', ' Apricot (1)']","263 Energy, 118 Health",,,"TV: 7 Fall Year 2,",
,Blackberry Cobbler,There's nothing quite like it.,"['Blackberry (2)', ' Sugar (1)', ' Wheat Flour (1)']","175 Energy, 78 Health",,,"TV: 14 Fall Year 2,",
,Cranberry Candy,It's sweet enough to mask the bitter fruit.,"['Cranberries (1)', ' Apple (1)', ' Sugar (1)']","125 Energy, 56 Health",,,"TV: 28 Winter Year 1,",
,Bruschetta,Roasted tomatoes on a crisp white bread.,"['Bread (1)', ' Oil (1)', ' Tomato (1)']","113 Energy, 50 Health",,,"TV: 21 Winter Year 2,",
,Coleslaw,"It's light, fresh and very healthy.","['Red Cabbage (1)', ' Vinegar (1)', ' Mayonnaise (1)']","213 Energy, 95 Health",,,"TV: 14 Spring Year 1,",
,Fiddlehead Risotto,A creamy rice dish served with sauteed fern heads. It's a little bland.,"['Oil (1)', ' Fiddlehead Fern (1)', ' Garlic (1)']","225 Energy, 101 Health",,,"TV: 28 Fall Year 2,",
,Poppyseed Muffin,It has a soothing effect.,"['Poppy (1)', ' Wheat Flour (1)', ' Sugar (1)']","150 Energy, 67 Health",,,"TV: 7 Winter Year 2,",
,Chowder,A perfect way to warm yourself after a cold night at sea.,"['Clam (1)', ' Milk (1)']","225 Energy, 101 Health",['Fishing (+1)'],16m 47s,Willy 3♥,135g
,Fish Stew,"It smells a lot like the sea. Tastes better, though.","['Crayfish (1)', ' Mussel (1)', ' Periwinkle (1)', ' Tomato (1)']","225 Energy, 101 Health",['Fishing (+3)'],16m 47s,Willy 7♥,175g
,Escargot,Butter-soaked snails cooked to perfection.,"['Snail (1)', ' Garlic (1)']","225 Energy, 101 Health",['Fishing (+2)'],16m 47s,Willy 5♥,125g
,Lobster Bisque,This delicate soup is a secret family recipe of Willy's.,"['Lobster (1)', ' Milk (1)']","225 Energy, 101 Health","['Fishing (+3)', ' Max Energy (+50)']",16m 47s,"The Queen of Sauce14 Winter, Year 2      Willy 9♥",
,Maple Bar,It's a sweet doughnut topped with a rich maple glaze.,"['Maple Syrup (1)', ' Sugar (1)', ' Wheat Flour (1)']","225 Energy, 101 Health","['Farming (+1)', ' Fishing (+1)', ' Mining (+1)']",16m 47s,"TV: 14 Summer Year 2,",
,Crab Cakes,"Crab, bread crumbs, and egg formed into patties then fried to a golden brown.","['Crab (1)', ' Wheat Flour (1)', ' Egg (1)', ' Oil (1)']","225 Energy, 101 Health","['Speed (+1)', ' Defense (+1)']",16m 47s,"TV: 21 Fall Year 2,",
,Shrimp Cocktail,A sumptuous appetizer made with freshly-caught shrimp.,"['Tomato (1)', ' Shrimp (1)', ' Wild Horseradish (1)']","225 Energy, 101 Health","['Fishing (+1)', ' Luck (+1)']",10m 2s,"TV: 28 Winter Year 2,",
,Ginger Ale,A zesty soda known for its soothing effect on the stomach.,"['Ginger (3)', ' Sugar (1)']","63 Energy, 28 Health",['Luck (+1)'],5m,"Dwarf Shop: 1,000g",200g
,Banana Pudding,A creamy dessert with a wonderful tropical flavor.,"['Banana (1)', ' Milk (1)', ' (Any) Sugar (1)']","125 Energy, 56 Health","['Mining (+1)', ' Luck (+1)', ' Defense (+1)']",5m 1s,Island Trader for  Bone Fragment (30),260g
,Mango Sticky Rice,Sweet mango and coconut transforms this rice into something very special.,"['Mango (1)', ' Coconut (1)', ' Rice (1)']","113 Energy, 50 Health",['Defense (+3)'],5m 1s,Leo 7♥,250g
,Poi,"A traditional food with a delicate, sweet flavor when eaten fresh.",['Taro Root (4)'],"75 Energy, 33 Health",,,Leo 3♥,400g
,Tropical Curry,"An exotic, fragrant curry served in a pineapple bowl.","['Coconut (1)', ' Pineapple (1)', ' Hot Pepper (1)']","150 Energy, 67 Health",['Foraging (+4)'],5m 1s,Ginger Island Resort: 2000g,500g
,Squid Ink Ravioli,Temporarily protects from debuffs.,"['Squid Ink (1)', ' Wheat Flour (1)', ' Tomato (1)']","125 Energy, 56 Health",['Mining (+1)'],4m 39s (Mining) 2m 59s (Squid Ink Ravioli Buff),Combat Level 9,150g
,Moss Soup,"It's thick and slimy, but edible.",['Moss (20)'],"70 Energy, 31 Health",,,Foraging Level 3,80g
